survey_id	zone	node_id	sequence	x	z	y	event	label	neighbors	source	confidence
20260712-170700-z102	102	1762	1762	386.695	-437.397	24.526	point		1761,1763	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1763	1763	383.646	-438.554	24.817	point		1762,1764	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1764	1764	381.062	-439.534	24.946	point		1763,1765	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1765	1765	378.754	-440.410	24.845	point		1764,1766	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1766	1766	376.526	-441.255	24.575	point		1765,1767	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1767	1767	373.678	-442.335	24.111	point		1766,1768	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1768	1768	371.455	-443.179	23.761	point		1767,1769	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1769	1769	369.373	-443.969	23.504	point		1768,1770	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1770	1770	366.329	-445.124	23.375	point		1769,1771	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1771	1771	364.085	-445.975	23.595	point		1770,1772	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1772	1772	362.015	-446.760	23.576	point		1771,1773	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1773	1773	358.786	-447.985	23.495	point		1772,1774	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1774	1774	356.688	-448.781	23.396	point		1773,1775	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1775	1775	354.749	-449.516	23.405	point		1774,1776	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1776	1776	351.880	-450.605	23.495	point		1775,1777	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1777	1777	348.768	-451.785	23.512	point		1776,1778	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1778	1778	346.852	-452.512	23.354	point		1777,1779	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1779	1779	343.974	-453.604	23.181	point		1778,1780	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1780	1780	342.055	-454.332	23.029	point		1779,1781	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1781	1781	339.972	-455.122	23.119	point		1780,1782	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1782	1782	337.211	-456.170	22.856	point		1781,1783	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1783	1783	334.365	-457.250	23.441	point		1782,1784	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1784	1784	332.460	-457.972	23.943	point		1783,1785	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1785	1785	330.384	-458.759	24.022	point		1784,1786	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1786	1786	327.491	-459.857	23.963	point		1785,1787	live-route-recording-20260712-170700-z102	proven
